text,category,priority,recommendation,sla,city,area
"Hello team, Consumed the protein powder and experienced severe stomach cramps, nausea, and vomiting. Need a response soon. Thanks.",Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Surat,Adajan
"Hello team, The multivitamin gummies have mold growing inside the jar. This is extremely hazardous. Need a response soon. Thanks.",Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Pune,Bandra
"Complaint: Experienced an intense allergic skin reaction, redness, and itching after applying the face cream. Batch No: BATCH-3286.",Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Surat,Juhu
"Dear Support, The lavender oil gave me a terrible chemical burn and skin irritation. Please look into this batch. Please resolve this.",Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Delhi,Navrangpura
"Dear Support, Found tiny metal shavings/wire inside the capsules of my herbal supplement bottle. Very dangerous! Please resolve this.",Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Surat,Satellite
Complaint: The collagen drink smelled rotten and gave my wife severe food poisoning. She had to visit the hospital. Batch No: BATCH-4811.,Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Delhi,Saket
"Dear Support, This product is contaminated. There are dark particles floating in the liquid wellness syrup. Please resolve this.",Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Delhi,Bandra
"Hello team, The weight loss capsules caused extreme heart palpitations and dizziness immediately after consumption. Need a response soon. Thanks.",Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Delhi,Navrangpura
Complaint: The vitamin C drops taste like pure chemicals and made my tongue swell up. I need this checked. Batch No: BATCH-8359.,Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Delhi,Dwarka
"Dear Support, The massage oil caused a severe rash and hives across my back. I am demanding a refund. Please resolve this.",Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Ahmedabad,Navrangpura
"Urgent: Consumed the protein powder and experienced severe stomach cramps, nausea, and vomiting.",Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Pune,Kothrud
Complaint: The multivitamin gummies have mold growing inside the jar. This is extremely hazardous. Batch No: BATCH-6514.,Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Surat,Satellite
"Experienced an intense allergic skin reaction, redness, and itching after applying the face cream. I am very disappointed.",Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Surat,Vesu
Urgent: The lavender oil gave me a terrible chemical burn and skin irritation. Please look into this batch.,Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Delhi,Dwarka
"Dear Support, Found tiny metal shavings/wire inside the capsules of my herbal supplement bottle. Very dangerous! Please resolve this.",Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Mumbai,Juhu
"Dear Support, The collagen drink smelled rotten and gave my wife severe food poisoning. She had to visit the hospital. Please resolve this.",Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Mumbai,Satellite
This product is contaminated. There are dark particles floating in the liquid wellness syrup.,Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Pune,Saket
Urgent: The weight loss capsules caused extreme heart palpitations and dizziness immediately after consumption.,Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Delhi,Bandra
"Hello team, The vitamin C drops taste like pure chemicals and made my tongue swell up. I need this checked. Need a response soon. Thanks.",Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Surat,Adajan
"Hello team, The massage oil caused a severe rash and hives across my back. I am demanding a refund. Need a response soon. Thanks.",Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Ahmedabad,Dwarka
"Dear Support, Consumed the protein powder and experienced severe stomach cramps, nausea, and vomiting. Please resolve this.",Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Ahmedabad,Satellite
The multivitamin gummies have mold growing inside the jar. This is extremely hazardous. I am very disappointed.,Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Pune,Baner
"Hello team, Experienced an intense allergic skin reaction, redness, and itching after applying the face cream. Need a response soon. Thanks.",Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Pune,Kothrud
Urgent: The lavender oil gave me a terrible chemical burn and skin irritation. Please look into this batch.,Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Pune,Bandra
"Hello team, Found tiny metal shavings/wire inside the capsules of my herbal supplement bottle. Very dangerous! Need a response soon. Thanks.",Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Pune,Satellite
The collagen drink smelled rotten and gave my wife severe food poisoning. She had to visit the hospital.,Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Ahmedabad,Juhu
"Hello team, This product is contaminated. There are dark particles floating in the liquid wellness syrup. Need a response soon. Thanks.",Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Ahmedabad,Kothrud
The weight loss capsules caused extreme heart palpitations and dizziness immediately after consumption. I am very disappointed.,Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Mumbai,Dwarka
"Hello team, The vitamin C drops taste like pure chemicals and made my tongue swell up. I need this checked. Need a response soon. Thanks.",Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Delhi,Bandra
"Hello team, The massage oil caused a severe rash and hives across my back. I am demanding a refund. Need a response soon. Thanks.",Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Pune,Adajan
"Complaint: Consumed the protein powder and experienced severe stomach cramps, nausea, and vomiting. Batch No: BATCH-1525.",Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Pune,Navrangpura
Urgent: The multivitamin gummies have mold growing inside the jar. This is extremely hazardous.,Product,High,"Contact the customer immediately to assess health/safety impact. Issue a full refund, ship a free replacement, and escalate to the QA team to investigate batch contamination.",24 hours,Surat,Bandra
