text,category,priority,recommendation,sla
Road near campus is damaged,Infrastructure,High,Repair road and ensure safety,24 hours
WiFi is not working,IT Services,High,Check network infrastructure and resolve issue,24 hours
Food delivered in bad condition,Food,Medium,Replace order and review packaging,48 hours
Unauthorized people entering campus,Security,Low,Increase security monitoring,72 hours
Refund not received,Finance,Medium,Verify and process refund,48 hours
WiFi is not working,IT Services,High,Check network infrastructure and resolve issue,24 hours
High fever complaint,Health,Low,Provide immediate medical assistance,72 hours
No job opportunities,Career,High,Arrange career guidance sessions,24 hours
Food quality is poor,Food,Medium,Inspect food quality and take corrective action,48 hours
Garbage overflow near hostel,Hostel,Medium,Arrange waste disposal immediately,48 hours
Unauthorized people entering campus,Security,Low,Increase security monitoring,72 hours
No drinking water available,Infrastructure,Low,Restore water supply immediately,72 hours
Lack of study materials,Academic,High,Provide academic resources,24 hours
Food quality is poor,Food,High,Inspect food quality and take corrective action,24 hours
Unable to find internship,Career,Low,Provide placement support,72 hours
Stress due to studies,Health,High,Provide counseling support,24 hours
No job opportunities,Career,High,Arrange career guidance sessions,24 hours
Internet speed is very slow,IT Services,Medium,Upgrade bandwidth and fix connectivity,48 hours
Noise disturbance in hostel,Hostel,Low,Inform hostel warden and enforce quiet hours,72 hours
Fee payment issue,Finance,High,Resolve payment gateway issue,24 hours
Lack of study materials,Academic,Low,Provide academic resources,72 hours
Water leakage in building,Infrastructure,High,Inform maintenance team to fix plumbing issue,24 hours
Garbage overflow near hostel,Hostel,High,Arrange waste disposal immediately,24 hours
High fever complaint,Health,Low,Provide immediate medical assistance,72 hours
Refund not received,Finance,High,Verify and process refund,24 hours
Lack of study materials,Academic,Medium,Provide academic resources,48 hours
Internet speed is very slow,IT Services,Medium,Upgrade bandwidth and fix connectivity,48 hours
Unable to find internship,Career,Low,Provide placement support,72 hours
Refund not received,Finance,High,Verify and process refund,24 hours
Transport delay issue,Transport,Low,Optimize transport schedule,72 hours
Garbage overflow near hostel,Hostel,Low,Arrange waste disposal immediately,72 hours
No job opportunities,Career,High,Arrange career guidance sessions,24 hours
Road near campus is damaged,Infrastructure,Low,Repair road and ensure safety,72 hours
No buses after evening,Transport,Medium,Add transport service after hours,48 hours
Fee payment issue,Finance,High,Resolve payment gateway issue,24 hours
Noise disturbance in hostel,Hostel,High,Inform hostel warden and enforce quiet hours,24 hours
